ortsId,aschachId,kremsId,ortsname,ortsname_aktuell,katastralgemeinde,ortsteil,nennung,zuordnung,typ,historischeSystematik,namensvar_hist,regionHistorisch,reichskreis,regionAktuell,regionAktuellCode,latitude,longitude,staat_aktuell,staat_aktuell_code,flusssystem,verkehrsanbindung,bemerkungen,bearbeitet
279,,500,Harschau,,,,1,2,,,,,,,,,,,,,,"<p>
	Zu H. gibt es nur eine Nennung in den KWNB. Die Person, &quot;Christoph Erben&quot;, scheint sonst in keinem Zusammenhang auf; eine Ware ist nicht angegeben. Eine eindeute Zuordnung war daher bis dato nicht m&ouml;glich.</p>
",1
280,,763,Hartenstein,Hartenstein,,Weinzierl am Walde,1,1,12,6,Hertenstein,1,4,1,1,N 48° 27' 0'',E 15° 24' 0'',1,7,30,"H. liegt in einer Schleife der Kleinen Krems, einem Quellfluss der Krems -> Donau. 
Die Krems mündete ursprünglich im Bereich des Kremser Hafens in die Donau. Durch den Bau des Staukraftwerks Altenwörth wurde die Mündung zusammen mit der Kampmündung nach Altenwörth verlegt.","<p>
	H. scheint in den KWNB nur in Zusammenhang mit einer Lieferung von Munition an die Herrschaft H. auf (1663, Vorbereitung auf den T&uuml;rkenkrieg). Herrschaft und Burg H. liegen im Gemeindegebiet von <a href=""https://de.wikipedia.org/wiki/Weinzierl_am_Walde"" target=""_blank"">Weinzierl am Walde</a>, 15 km westlich von Krems. H. bildet jedoch keinen eigenen Ortsteil von Weinzierl. Die Links beziehen sich teilweise auf die Herrschaft bzw. Burg H.</p>
",1
281,,313,Härtlings,Hořepník,,,1,1,12,1,"Hardling, Hartling, Hertling in Böheimb, Horschobleckh",5,,32,23,N 49° 30' 45'',E 15° 6' 21'',2,4,14,H. liegt an der Trnava -> Zeliwka/Želivka -> Sasau/Sázava -> Moldau/Vltava -> Elbe.,"<p>
	<span class=""fieldContent"">&quot;Horschepnik&quot; (&quot;Horschobleckh&quot;) ist eine identische dt. Bezeichnung f&uuml;r H&auml;rtlings. </span></p>
",1
282,,1050,Haselbach,Leszczyniec,,Kamienna Góra,1,2,12,1,Haßlbach,14,,28,19,N 50° 46' 48'',E 15° 54' 33'',4,6,21,H. liegt im Einzugsgebiet des Bober/Bóbr -> Oder.,"<p>
	Familienname und G&uuml;ter passen zur H&auml;ndlerfamilie &quot;Ludwig&quot;, die auch unter &quot;Landeshut&quot; und &quot;Breslau&quot; in den KWNB zu finden ist. H. ist nur wenige Kilometer von Landeshut/<span style=""""><span>Kamienna G&oacute;ra auf der Landstra&szlig;e entfert.</span></span></p>
<p>
	Eine &Uuml;berpr&uuml;fung der Pfarrmatriken von <a href=""https://de.wikipedia.org/wiki/Niederhollabrunn"" target=""_blank"">Niederhollabrunn f&uuml;r den OT H</a>. ergab keinen Hinweis auf eine Familie Ludwig. Da jedoch H. ein &uuml;beruas h&auml;ufiger Name in Nieder- und Ober&ouml;sterreich ist, auch zwei Ort in Tschechien nicht ausgeschlossen werden konnten, bleibt die Zuordnung nicht-eindeutig. Vgl. die zahlreichen M&ouml;glichkeiten in <a href=""https://de.wikipedia.org/wiki/Haselbach"" target=""_blank"">wikipedia</a> und <a href=""http://www.geonames.org/search.html?q=Haselbach&amp;country="" target=""_blank"">GeoNames</a>.</p>
<p>
	&nbsp;</p>
",1
283,,115,Haugsdorf,Haugsdorf,,,1,1,12,1,"Augstorf, Hauckhstorf, Hauckhstorff, Hauggstorff",1,4,1,1,N 48° 42' 27'',E 16° 4' 35'',1,7,16,H. liegt an der Pulkau -> Thaya -> March -> Donau.,"<p>
	Vor 1670/71 kann auch ein j&uuml;discher H&auml;ndler aus H. in den KWNB belegt werden (&quot;Gabriel&quot;). Siehe auch STAUDINGER, Gantze D&ouml;rffer, 103.</p>
",1
284,,562,Hauskirchen,Hauskirchen,,,1,1,12,1,Haußkürchen,1,4,1,1,N 48° 36' 0'',E 16° 46' 0'',1,7,16,H. liegt an der Zaya -> March -> Donau.,,1
285,,144,Hausleiten,Hausleiten,,,1,1,12,1,Haußleuthen,1,4,1,1,N 48° 23' 0'',E 16° 6' 0'',1,7,98,H. liegt am Stranzendorfer Bach -> Schmida -> Donau.,,1
286,,613,Heidenreichstein,Heidenreichstein,,,1,1,12,1,"Haidenreichstain, Hainrichstain, Heinrichstein",1,4,1,1,N 48° 52' 0'',E 15° 7' 0'',1,7,14,H. liegt am Romaubach -> Braunaubach -> Lainsitz/Lužnice -> Moldau/Vltava -> Elbe.,,1
288,,1034,Heiligenbrunn,,,,1,2,,,"Haillprun, Heillingprun",,,,,,,,,,,"<p>
	Die beiden Nennungen in den KWNB sprechen f&uuml;r eine Herkunft der genannten Person &quot;Albinus (Albert?) Walmpeck (Wallenb&ouml;ck?)&quot; aus einem Ort in Nieder&ouml;sterreich. Ein Ortsname H. ist in Nieder&ouml;sterreich im 18. Jahrhundert nicht gebr&auml;uchlich, abgesehen von einer Geh&ouml;ftbezeichnung in der Gemeinde Lonitzberg, die sehr unwahrscheinlich ist. Im Mittelalter war H. noch der Name des sp&auml;teren Orts St. Corona am Sch&ouml;pfel, jedoch scheint auch diese sp&auml;te Verwendung sehr unwahrscheinlich. Zu den&nbsp; Nennungen von H. siehe WEIGL, Ortsnamenbuch, 77, und Topographie, 151. Dar&uuml;ber hinaus d&uuml;rfte es einen Zusammenhang mit einem Ort &quot;Kirchberg&quot; geben, da dieselbe Person auch aus diesem Ort kommen k&ouml;nnte (&quot;Albert Walmpeck, Kirchberg&quot;).</p>
<p>
	Der Ort <a href=""https://de.wikipedia.org/wiki/Heiligenbrunn"" target=""_blank"">H. im Burgenland</a> ist auszuschlie&szlig;en.</p>
",1
289,,838,Heiligeneich,Heiligeneich,,Atzenbrugg,1,1,12,1,"H. Ay, Heyl. Aich, Heyl. Ay, Heillingay",1,4,1,1,N 48° 17' 58''	,E 15° 53' 38'',1,7,69,H. liegt im Einzugsgebiet der Perschling -> Donau.,,1
290,,748,Heiligenstadt,Heiligenstadt,,Wien,1,1,12,1,"Hällingstatt, Heillingstatt",1,4,44,36,N 48° 15' 0'',E 16° 22' 0'',1,7,1,H. liegt an der Donau.,,1
291,,635,Heinrichschlag,Großheinrichschlag,,Weinzierl am Walde,1,1,12,1,Hainrichschlag,1,4,1,1,N 48° 25' 0''	,E 15° 23' 0'',1,7,30,"H. liegt an der Kleinen Krems, einem Quellfluss der Krems -> Donau. 
Die Krems mündete ursprünglich im Bereich des Kremser Hafens in die Donau. Durch den Bau des Staukraftwerks Altenwörth wurde die Mündung zusammen mit der Kampmündung nach Altenwörth verlegt.","<p>
	Die Kleine Krems teilt Klein- von Gro&szlig;heinrichschlag. Da es sich bei den Gesch&auml;ftsf&auml;llen in den KWNB um Lieferungen an die Herrschaft H. handelt, ist als aktuelle Zuordnung Gro&szlig;h. zu w&auml;hlen.</p>
",1
293,,879,Hermannsdorf,Jeřmaň,,Bouzov,1,2,12,1,Hörmanstorff,4,,36,29,N 49° 42' 59'',E 16° 53' 41'',2,4,,,"<p>
	Personen und G&uuml;ter lassen auf einen Ort im Umkreis von Olm&uuml;tz schlie&szlig;en, dem H. entspricht. Ohne &Uuml;berpr&uuml;fung der Personen in den Pfarrmatriken ist die eindeutige Zuordnung jedoch nicht gegeben, da es im b&ouml;hmisch-m&auml;hrischen Grenzbereich eine Reihe von weiteren Orten names H. gibt, die zwar weit weniger passend zu den Personen und Waren sind, jedoch nicht v&ouml;llig ausgeschlossen werden k&ouml;nnen. Siehe die beiden Orte in <a href=""https://www.geonames.org/search.html?q=Hermannsdorf&amp;country=CZ"" target=""_blank"">GeoNames</a> bzw. die <a href=""https://de.wikipedia.org/wiki/Hermannsdorf"" target=""_blank"">Liste in Wikipedia</a>.</p>
<p>
	<a href=""https://de.wikipedia.org/wiki/St._Georgen_am_Ybbsfelde"" target=""_blank"">H. als OT von St. Georgen am Ybbsfelde</a> in Nieder&ouml;sterreich ist hingegen auszuschlie&szlig;en.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
",1
294,,772,Hermannstadt,Heřmanovice,,,1,1,12,1,Hörmanstatt,14,,26,17,N 50° 11' 35'',E 17° 23' 51'',2,4,21,H. liegt an der Goldoppa/Opavice -> Oppa/Opava -> Oder.,"<p>
	Die in den KWNB genannte Person aus H. (&quot;Matthias Willich&quot;) scheint auch unter dem nahen M&auml;hrisch Sch&ouml;nberg/&Scaron;umperk auf. Das Gebiet um H. war bekannt f&uuml;r die Flachsspinnerei bzw. den Flachsanbau. Siehe dazu <a href=""https://books.google.de/books?id=aIwAAAAAcAAJ&amp;pg=PA294#v=onepage&amp;q&amp;f=false"" target=""_blank"">ENS, Ortsbeschreibungen, 294</a>.</p>
",1
295,,888,Hörmanns,,,,1,2,12,1,Hermens,1,4,1,1,,,1,7,,,"<p>
	Es gibt eine ganze Reihe von Orten namens H. in Nieder&ouml;sterreich - vor allem im Waldviertel. In den KWNB gibt es nur einen Eintrag (Flachslieferung) zu einer Person &quot;Johann Peran&quot; (1710). Zu den Namensvarianten siehe WEIGL, Ortsnamenbuch, 154f.</p>
<p>
	M&ouml;glich sind:</p>
<p>
	1) <a href=""https://de.wikipedia.org/wiki/H%C3%B6rmanns_bei_Litschau"" target=""_blank"">H. (Litschau)</a></p>
<p>
	2) <a href=""https://de.wikipedia.org/wiki/H%C3%B6rmanns_bei_Weitra"" target=""_blank"">H. (Weitra)</a></p>
<p>
	3) <a href=""https://de.wikipedia.org/wiki/H%C3%B6rmanns_(Gemeinde_Zwettl-Nieder%C3%B6sterreich)"" target=""_blank"">H. (Zwettl)</a></p>
<p>
	&nbsp;</p>
",1
296,245,159,Herzogenburg,Herzogenburg,,,"1
2",1,12,1,"KWNB: Herzogburg, Hörzogburg
AMP: Herzogburg, Hörzogsburg",1,4,1,1,N 48° 16' 52'',E 15° 41' 39'',1,7,32,H. liegt an der Traisen -> Donau.,"<p>
	F&uuml;r die eindeutige Zuordnung des Ortes H. ergibt sich lediglich eine Einschr&auml;nkung in den AMP (1706-1740) f&uuml;r den Datensatz 66328 bzw. den Pesonendatensatz 32411. Die Nennung von &quot;H&ouml;rzogsburg&quot; kann nicht eindeutig H. zugeordnet werden und w&uuml;rde noch weiterer &Uuml;berpr&uuml;fung bed&uuml;rfen. In den Pfarrmatriken von Herzogenburg konnte eine Familie &quot;F&ouml;rg&quot;/&quot;Ferg&quot; etc. nicht nachgewiesen werden. Die Schreibung &quot;H&ouml;rzogsburg&quot; ist dar&uuml;berhinaus ungebr&auml;uchlich. Jedoch konnte auch kein anderer passender Ort &quot;H&ouml;rzogsburg&quot; identifiziert werden.</p>
",1
298,,515,Heuberg,Heuberg,,Pyhra,1,1,12,1,Heyberg,1,4,1,1,N 48° 9' 13'',E 15° 41' 21'',1,7,69,H. liegt an der Perschling -> Donau.,"<p>
	H. scheint in den KWNB in Zusammenhang mit Kastanien auf, weshalb H. bei Pyhra , in direkter N&auml;he zu Wilhelmsburg, dem Hauptumschlagsplatz f&uuml;r Kastanien , als gesichert angenommen werden kann. Zum Verbreitungsgebiet der Kastanie in Nieder&ouml;sterreich vgl. ROSENKRANZ, Edelkastanie.</p>
",1
299,,850,Hippersdorf,Hippersdorf,,Königsbrunn am Wagram,1,1,12,1,Hipperstorff,1,4,1,1,N 48° 25' 0'',E 15° 58' 0'',1,7,98,H. liegt im Einzugsgebiet der Schmida -> Donau.,,1
300,,408,Hirschau,,,,1,2,,,,,,,,,,,,,,"<p>
	Beide Eintr&auml;ge zu H. in den KWNB beziehen sich auf den Tuchhandel j&uuml;discher H&auml;ndler. <a href=""https://de.wikipedia.org/wiki/Liebenau_(Ober%C3%B6sterreich)"" target=""_blank"">H. als OT von Liebenau</a> (Ober&ouml;sterreich) ist daher weitgehend auszuschlie&szlig;en ebenso wie die <a href=""https://de.wikipedia.org/wiki/Hirschau"" target=""_blank"">Stadt H.</a> im bayerischen LK Amberg-Sulzbach, obwohl es dort eine umfangreiche Tuchproduktion gegeben hat. Die gehandelten G&uuml;ter, Haar/Flachs, Tuch und Wachs, lassen eher auf den b&ouml;hmisch-m&auml;hrischen Raum schlie&szlig;en. Der Ort <a href=""https://www.geonames.org/3074622/hyrsov.html"" target=""_blank"">Hyr&scaron;ov (dt. H.)</a> in Westb&ouml;hmen liegt jedoch weit abseits der sonst &uuml;blichen Handelsverbindungen von Krems.</p>
",1
301,,841,Hirschbach,Hirschbach,,,1,1,12,1,,1,4,1,1,N 48° 44' 35'',E 15° 7' 30'',1,7,16,H. liegt im Einzugsgebiet des Moosbachs -> Thaya -> March -> Donau.,"<p>
	Die einzige Nennung von H. in den KWNB bezieht sich auf eine Person mit Familiennamen &quot;Buechm&uuml;llner&quot;. Dieser Familienname kommt in der Quelle auch unter dem benachbarten Zwettl vor.</p>
",1
302,,194,Hirschberg,Jelenia Góra,,,1,1,12,1,"Herschberg, Hierschberg, Hirschperg",14,,28,19,N 50° 53' 59'',E 15° 43' 44'',4,6,21,H. liegt an der Mündung des Zacken/Kamienna in den Bober/Bóbr -> Oder.,,1
303,,460,Hitewiz,,,,1,2,,,,,,,,,,,,,,"<p>
	H. scheint in den KWNB nur in Zusammenhang mit einer Fischschmalzlieferung auf. Diese stammen h&auml;ufig aus Breslau oder anderen schlesischen Orten. Ein Ort H. (und &auml;hnliche Schreibvarianten) konnte jedoch nicht identifiziert werden.</p>
",1
304,,743,Höchstetten,,,,1,2,,,,,,,,,,,,,,"<p>
	&quot;H&ouml;chst&auml;dt an der Donau&quot; ist unwahrscheinlich (Transport von Heringen, nur eine Nennung in den KWNB). Evtl. k&ouml;nnte es sich um <a href=""https://de.wikipedia.org/wiki/Vysok%C3%A1_pri_Morave"" target=""_blank"">Hochstetten/Vysok&aacute; pri Morave</a> (hist. K&ouml;nigreich Ungarn, aktuell Slowakei) handeln. Ein eindeutiger Beleg konnte bis dato jedoch nicht gefunden werden.</p>
",1
305,,190,Hof,,,,1,2,,,,,,,,,,,,,,"<p>
	H. wird in den KWNB nur ein einziges Mal genannt. Da es sich um eine v&ouml;llig unspezifische geografische Bezeichnung handelt und es alleine in <a href=""https://de.wikipedia.org/wiki/Liste_der_Orte_namens_Hof#%C3%96sterreich"" target=""_blank"">Nieder&ouml;sterreich mindestens acht M&ouml;glichkeiten gibt</a>, war eine Zuordnung bis dato nicht m&ouml;glich.</p>
",1
306,,992,Hoffstatt,,,,1,2,,,von der Hoffstatt,,,,,,,,,,,"<p>
	H. scheint in den KWNB nur ein einziges Mal auf. Ein H&auml;ndler, &quot;Simon Petermann&quot;, verkauft Leinwand. Es k&ouml;nnte sich daher am ehesten um einen Ort (Hofstadt oder Hofstatt)&nbsp; in Ober&ouml;sterreich (inkl. des ehemals bayerischen Innviertels) handeln, wie auch um einen b&ouml;hmisch-m&auml;hrisch-schlesichen Ort. Da keine weiteren Hinweise zu Ort oder H&auml;ndler vorliegen, konnte der Ort bis dato nicht eindeutig identifiziert werden.</p>
",1
307,,925,Höflein,Hevlín,,,1,1,12,1,"Höffelein, Höfflein",4,,23,14,N 48° 45' 7'',E 16° 22' 52'',2,4,16,H. liegt an der Thaya -> March -> Donau.,"<p>
	Alte Bezeichnungen f&uuml;r H. auch &quot;H. an der Thaya&quot;/&quot;Hevl&iacute;n nad Dyj&iacute;&quot;. Alle H. Orte in Nieder&ouml;sterreich sind auszuschlie&szlig;en, da keine der beiden Personen bzw. Familien (&quot;Wickhardt&quot; und &quot;Fleischer&quot;) in den entsprechenden Pfarrmatriken nachgewiesen werden konnte. Sehr wohl finden sich aber zahlreiche Eintr&auml;ge zu beiden Familien in den Pfarrmatriken von <a href=""http://data.matricula-online.eu/de/oesterreich/wien/laa-an-der-thaya/"" target=""_blank"">Laa an der Thaya</a> und dem direkt am anderen Thayaufer liegenden <a href=""http://actapublica.eu/puvodci/lokality/548/"" target=""_blank"">H. in M&auml;hren</a>.</p>
<p>
	&nbsp;</p>
",1
308,,491,Hofstetten (Niederösterreich),Hofstetten,,Hofstetten-Grünau,1,1,12,1,Hofstötten,1,4,1,1,N 48° 5' 49'',E 15° 30' 41'',1,7,36,H. liegt an der Pielach.,"<p>
	H. scheint in den KWNB nur in Zusammenhang mit dem Verkauf von Kastanien auf. Die Zuordnung ist daher eindeutig. Siehe dazu die zahlreichen Nennungen von H. in ROSENKRANZ, Edelkastanie.</p>
",1
309,,538,Hohenberg,Hohenberg,,,1,1,12,1,Hochenperg,1,4,1,1,N 47° 55' 4'',E 15° 36' 52'',1,7,32,H. liegt an der Unrechttraisen -> Traisen -> Donau.,"<p>
	Die Ortsangabe H. ist an sich sehr unspezifisch. Da die in den KWNB genannte Person <a href=""https://data.matricula-online.eu/de/oesterreich/st-poelten/hohenberg/01%252C2%252C3%252F01/?pg=78"" target=""_blank"">(&quot;Georg Koller&quot;) aber als Schmied (&quot;fabri ferraty&quot;) in den Matriken von H. anl&auml;sslich der Taufe seines Sohnes &quot;Colomannus&quot; am 25. Oktober 1692</a> aufscheint, ist die Zuordnung dennoch eindeutig.</p>
",1
310,,710,Hohenelbe,Vrchlabí,,,1,2,12,1,Hochenelb,5,,25,16,N 50° 37' 37''	,E 15° 36' 33'',2,4,14,H. liegt an der Elbe.,"<p>
	Es konnte nicht gekl&auml;rt werden, wie die Handelsrichtung (&quot;herein&quot;) in den KWNB zum Handelsgut Kastanien passt (Verschreibung?). Zumeist kommen Kastanien aus der Gegend um Wilhelmsburg in Nieder&ouml;sterreich und werden in Krems nach B&ouml;hmen und M&auml;hren weiterverkauft. Daher wurde der Ort als nicht-eindeutig identifiziert gekennzeichnet.</p>
",1
311,,811,Hohenmauth,Vysoké Mýto,,,1,1,12,1,"Hochenmauth, von der Hochenmauth, [Hornnauth?]",5,,29,20,N 49° 57' 11'',E 16° 9' 42'',2,4,14,H. liegt an der Mündung des Mühlenbaches/Mlýnský potok in die Lautschna/Loučná -> Elbe.,,1
312,,38,Hohenwarth,Hohenwarth,,Hohenwarth-Mühlbach am Manhartsberg,1,1,12,1,Hochenwarth,1,4,1,1,N 48° 30' 0'',E 15° 49' 0'',1,7,168,"H. liegt im Einzugsgebiet des Gießgrabens -> Gießbach -> Krumpenwasser -> Donau.
Das Krumpenwasser ist ein Altarm der Donau in der Nähe von Stockerau, der in der historischen Donauschifffahrt für den Schiffsgegenzug (Naufahrt) verwendet wurde.
H. lag am ""Pleketen Weg"", einem wichtigen Straßenzug nördlich der Donau. Siehe MOCHTY, Hohenwarth, 696; ausführlich: FITTNER, Hohenwarth, 324f.",,1
313,,1069,Holitsch,"Holíč (slowak.), Holics (ung.)",,,1,1,12,1,Hollitsch,11,,52,51,N 48° 48' 39'',E 17° 9' 44'',10,26,16,H. liegt knapp östlich der March -> Donau.,"<p>
	Eine weitere deutschsprachige Bezeichnung f&uuml;r H. war &quot;(ungarisch) Wei&szlig;kirchen&quot;.</p>
",1
314,1024,121,Hollabrunn,Hollabrunn,,,"1
2",1,12,1,"KWNB: Holaprun, Hollabrun, Hollaprun, Hollenprunn
AMP: [Holbrün]",1,4,1,1,N 48° 33' 0'',E 16° 5' 0'',1,7,115,H. liegt am Göllersbach -> Donau.,"<p>
	Seit dem 13. Jahrhundert wurden h&auml;ufig die Zus&auml;tze &quot;Ober-&quot;, &quot;superior&quot; bzw. &quot;maior&quot; verwendet, um H. von Niederhollabrunn zu unterscheiden. Siehe KUSTERNIG&ndash;WELTIN, Hollabrunn, 711. In der hier vorliegenden Datenbank wurden beide Formen (&quot;Oberholabrunn&quot; und &quot;Hollabrunn&quot;) belassen. Siehe daher auch &quot;Oberhollabrunn&quot;. Jedoch ist Niederhollabrunn auszuschlie&szlig;en, sodass &quot;H.&quot; und &quot;Oberhollabrunn&quot; synonym f&uuml;r die heutige Bezirkshauptstadt H. stehen.</p>
<p>
	Mit Beschluss des Nieder&ouml;sterreichischen Landtages von 1927 wurde Oberhollabrunn in H. umbenannt.</p>
<p>
	Die einzige Nennung von H. in den AMP (1706-1740) ist mit guter Wahrscheinlichkeit auch (Ober-)H. zuzuordnen (Weintransport f&uuml;r einen Pfarrer in Richtung Nieder&ouml;sterreich/Wien), jedoch scheint die Schreibvariante &quot;Holbr&uuml;n&quot; sehr verballhornt.</p>
",1
315,,865,Hollenbach,Hollenbach,,Waidhofen an der Thaya,1,1,12,1,,1,4,1,1,N 48° 49' 39'',E 15° 20' 6'',1,7,16,H. liegt am Hollenbach -> Thaya -> March -> Donau.,,1
316,1344,415,Hollenburg,Hollenburg,,Krems an der Donau,"1
2",1,12,1,"KWNB: Hollnburg
AMP: Hollenburg",1,4,1,1,N 48° 22' 44'',E 15° 41' 26'',1,7,1,H. liegt an der Donau.,"<p>
	H. geh&ouml;rt zu Krems, liegt aber am s&uuml;dlichen Donauufer.</p>
",1
317,,106,Holleschau,Holešov,,,1,1,12,1,"Holischau, Holleschau, Hollischau, Hollitschau, Hollitschaw",4,,63,53,N 49° 19' 59'',E 17° 34' 41'',2,4,16,H. liegt an der Rusawa/Rusava -> March -> Donau.,"<p>
	H. hatte seit dem ausgehenden Mittelalter eine der gr&ouml;&szlig;ten j&uuml;dischen Gemeinden M&auml;hrens. Zahlreiche j&uuml;dische H&auml;ndler aus H. finden sich auch in den KWNB.</p>
",1
318,,935,Holleschitz,Holešice,,"Cizkrajov, [Sitzgras (dt.)]",1,1,12,1,Holläschiz,4,,31,22,N 49° 1' 32'',E 15° 25' 3'',2,4,16,H. liegt knapp westlich der Mährischen Thaya/Moravská Dyje -> Thaya -> March -> Donau.,,1
319,,47,Horn,Horn,,,1,1,12,1,Hornn,1,4,1,1,N 48° 39' 45''	,E 15° 39' 23'',1,7,24,H. liegt an der Taffa -> Kamp -> Donau.,,1
321,,338,Horschitz,,,,1,2,12,1,Horschiz,5,,,,,,2,4,,,"<p>
	Zwei m&ouml;gliche Orte H. in B&ouml;hmen:</p>
<p>
	1) <a href=""https://de.wikipedia.org/wiki/Ho%C5%99ice_u_Humpolce"" target=""_blank"">Hořice u Humpolce</a></p>
<p>
	2) <a href=""https://de.wikipedia.org/wiki/Ho%C5%99ice_v_Podkrkono%C5%A1%C3%AD"" target=""_blank"">Hořice v Podkrkono&scaron;&iacute;</a></p>
<p>
	Die einzige Person, die in den KWNB unter H. genannt ist (&quot;Wenzel W&auml;llisch&quot;), d&uuml;rfte identisch mit einer weiteren Person (&quot;Wenzel W&auml;lischiz&quot; aus &quot;Worschitz&quot;) in der gleichen Quelle sein. Es k&ouml;nnte sich daher bei H. auch um eine Verballhornung von &quot;Worschitz&quot; (siehe dort) handeln.</p>
",1
322,,392,Hotzenplotz,Osoblaha,,,1,2,12,1,Hozopoz,4,,26,17,N 50° 16' 30'',E 17° 42' 54'',2,4,21,H. liegt an der Ossa [auch: Hotzenplotz]/Osoblaha/Osobłoga -> Oder.,"<p>
	H. war eine m&auml;hrische Exklave in Schlesien. Der Ort ist als nicht eindeutig identifiziert gekennzeichnet, da es nur einen Eintrag in den KWNB gibt und dieser eine starke Verballhornung von H. ist. Jedoch scheint der Name H. auch sonst in der <a href=""https://de.wikisource.org/wiki/Topographia_Bohemiae,_Moraviae_et_Silesiae:_Hotzeplotz"" target=""_blank"">&auml;lteren Literatur und Chronistik</a> in sehr unterschiedlichen Varianten auf.</p>
",1
323,,391,Huetsdorf,,,,1,2,,,Huetstorff,,,,,,,,,,,"<p>
	Zum Ort H. gibt es in den KWNB nur eine Nennung; die Person &quot;Gallus Rath&quot; scheint unter keinem anderen Ort auf. Ein moderner Ort H. konnte nicht identifiziert werden.</p>
",1
324,,301,Humpoletz,Humpolec,,,1,1,12,1,"Humpoliz, Humpolliz, Humpolts",5,,32,23,N 49° 32' 29'',E 15° 21' 33'',2,4,14,"H. liegt zwischen Zeliwka/Želivka und Sasau/Sázava -> Moldau/Vltava -> Elbe.
H. lag am alten Handelsweg von Prag nach Brünn.",,1
325,1005,109,Hütting,Hütting,,Mitterkirchen im Machland,"1
2",1,12,1,"KWNB: Hitting, Hütting
AMP: Hütting",10,4,8,5,N 48° 10' 0'',E 14° 42' 0'',1,7,1,H. liegt an der Donau.,,1
326,,191,Iglau,Jihlava,,,1,1,12,1,"Igl., Iglaw, von der Trigla, Triglao/Triglav?",4,,32,23,N 49° 23' 45'',E 15° 35' 28'',2,4,16,T. liegt an der Igel/Jihlava -> Schwarza/Svratka -> Thaya -> March -> Donau.,"<p>
	Die deutlich abweichenden, sehr fr&uuml;hen (1627) Schreibformen &quot;Trigla&quot; bzw. &quot;Triglao/Triglav&quot; k&ouml;nnen anhand zeitgen&ouml;ssischer Quellen eindeutig zugeordnet werden. Siehe dazu u.a. <a href=""https://books.google.at/books?id=fEUFHQSJUOEC&amp;pg=RA4-PA258&amp;lpg=RA4-PA258&amp;dq=%22Triglau%22+IGlau&amp;source=bl&amp;ots=ZBp88dgNdn&amp;sig=ACfU3U1lUTiY_cHr9C8cSobPmWEqmUkN_A&amp;hl=de&amp;sa=X&amp;ved=2ahUKEwiF67HfhND1AhXdiv0HHRy-DfMQ6AF6BAgEEAM#v=onepage&amp;q=%22Triglau%22%20IGlau&amp;f=false"" target=""_blank"">KELLER-CATALANO-ROMBERG, Diarien, 258</a>. Bez&uuml;glich der Etymologie siehe <a href=""https://books.google.at/books?id=VkBDAAAAcAAJ&amp;printsec=frontcover&amp;hl=de&amp;source=gbs_ge_summary_r&amp;cad=0#v=onepage&amp;q&amp;f=false"" target=""_blank"">TOMASCHEK, Deutsches Recht, 26 Anm. 6</a>.</p>
",1
327,,874,Illau,,,,1,2,,,Illaw,,,,,,,10,,,,"<p>
	In den KWNB ist verzeichnet, dass &quot;Johann H&auml;ntschl&quot; aus I. 1710 2 P&auml;ckl Socken nach Krems bringt.</p>
<p>
	Der Ort <a href=""https://de.wikipedia.org/wiki/Ilava"" target=""_blank"">I./Ilava in der Slowakei</a> (historisch Ungarn) scheint f&uuml;r die Handelsbeziehungen nach Krems und das Handelsgut &quot;Socken&quot; wenig plausibel. Zahlreiche Sockenlieferungen kamen hingegen aus &quot;Iglau&quot; (siehe auch dort). Evtl. handelt es sich bei I. um eine Verschreibung/Verballhornung von &quot;Iglau&quot;?</p>
<p>
	M&ouml;glich w&auml;re auch der Ort &quot;<a href=""https://de.wikipedia.org/wiki/Kautzen#Gemeindegliederung"" target=""_blank"">Illmau</a>&quot; in der N&auml;he von &quot;Zlabings&quot; (siehe auch dort), da auch aus Zlabings Socken nach Krems geliefert wurden und in Illmau ausreichend Wolle vorhanden war. Vgl. dazu REUTTER, Geshichte, 370.</p>
<p>
	auch der Ort &quot;<a href=""https://de.wikipedia.org/wiki/J%C3%ADlov%C3%A9_u_Dr%C5%BEkova"" target=""_blank"">Jilau</a>&quot;/<span class=""mw-page-title-main"">&quot;<a href=""https://www.geonames.org/11922460/jilove-u-drzkova.html"" target=""_blank"">J&iacute;lov&eacute; u Držkova</a>&quot; konnte nicht ausgeschlossen werden.</span></p>
",1
